source_key,reports,authors_year,title,doi,access_url,local_file,access_status
"BAT05","K00;00;01;09;12;14","Dawson et al. 2026","Predicting the formation of mud cracks in Li-ion battery electrodes during the drying process with in situ X-ray computed tomography","10.1039/D5EB00201J","https://pubs.rsc.org/en/content/articlepdf/2026/eb/d5eb00201j","../../papers_Yang/d5eb00201j (1).pdf","local journal-layout PDF verified; repository-cover duplicate package also retained"
"GEO01","00;02;08","Tang et al. 2021","Desiccation cracking of soils: A review of investigation approaches underlying mechanisms and influencing factors","10.1016/j.earscirev.2021.103586","https://doi.org/10.1016/j.earscirev.2021.103586","","publisher landing page; subscription may be required"
"CER06","K00;00;05;09","Moorhead and Francis 2024","Characterizing stress development and cracking of ceramic particulate coatings during drying","10.1111/jace.19644","https://doi.org/10.1111/jace.19644","","publisher open full text"
"BAT02","K00;01","Jaiser et al. 2017","Microstructure formation of lithium-ion battery electrodes during drying – An ex-situ study using Cryo-BIB-SEM","10.1016/j.jpowsour.2017.01.117","https://doi.org/10.1016/j.jpowsour.2017.01.117","","publisher landing page; subscription may be required"
"BAT04","01","Kumberg et al. 2019","Drying of Lithium-Ion Battery Anodes for Use in High-Energy Cells: Influence of Electrode Thickness on Drying Time Adhesion and Crack Formation","10.1002/ente.201900722","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ente.201900722","","publisher hybrid/open PDF link"
"GEO02","02","Péron et al. 2009","Fundamentals of desiccation cracking of fine-grained soils: experimental characterisation and mechanisms identification","10.1139/T09-054","https://infoscience.epfl.ch/record/141895/files/Peron-et-al_%20Fundamentals-of-desiccation.pdf","","institutional repository PDF"
"GEO03","02","Zeng et al. 2019","Coupling effects of interfacial friction and layer thickness on soil desiccation cracking behavior","10.1016/j.enggeo.2019.105220","https://doi.org/10.1016/j.enggeo.2019.105220","","publisher landing page; subscription may be required"
"GEL03","03","Scherer 1990","Stress and fracture during drying of gels","10.1016/0022-3093(90)90113-Z","https://doi.org/10.1016/0022-3093(90)90113-Z","","publisher landing page; subscription may be required"
"GEL04","03","Scherer and Smith 1995","Cavitation during drying of a gel","10.1016/0022-3093(95)00222-7","https://collaborate.princeton.edu/en/publications/cavitation-during-drying-of-a-gel/","","university metadata and abstract; publisher full text may require subscription"
"GEL05","03","Bertrand et al. 2016","Dynamics of Swelling and Drying in a Spherical Gel","10.1103/PhysRevApplied.6.064010","https://arxiv.org/pdf/1605.00599","","open preprint PDF"
"COL01","04","Cardinal et al. 2010","Drying regime maps for particulate coatings","10.1002/aic.12190","https://doi.org/10.1002/aic.12190","","publisher landing page; subscription may be required"
"COL05","04","Tirumkudulu and Russel 2005","Cracking in Drying Latex Films","10.1021/la048298k","https://doi.org/10.1021/la048298k","","publisher landing page; subscription may be required"
"COL07","04;08","Goehring et al. 2013","Plasticity and Fracture in Drying Colloidal Films","10.1103/PhysRevLett.110.024301","https://irep.ntu.ac.uk/id/eprint/28369/1/5910_Goehring.pdf","originals/COL07_Goehring_2013_plasticity_fracture_repository.pdf","local institutional repository PDF verified; 5 pages"
"CER01","05","Lewis et al. 1996","Rheological Property and Stress Development during Drying of Tape-Cast Ceramic Layers","10.1111/j.1151-2916.1996.tb08099.x","https://doi.org/10.1111/j.1151-2916.1996.tb08099.x","","publisher landing page; subscription may be required"
"CER02","05","Martinez and Lewis 2002","Rheological Structural and Stress Evolution of Aqueous Al2O3:Latex Tape-Cast Layers","10.1111/j.1151-2916.2002.tb00473.x","https://scholar.harvard.edu/files/lewis-lab/files/rheological_structural_and_stress_evolution_in_aqueous_al2o3_latex_tape-cast_layers.pdf","","author-group PDF"
"POL02","06","Punati and Tirumkudulu 2022","Modeling the drying of polymer coatings","10.1039/D1SM01343B","https://pubs.rsc.org/en/content/articlepdf/2022/sm/d1sm01343b","","publisher PDF/full-text link"
"POL03","06;08","Arai and Doi 2012","Skin formation and bubble growth during drying process of polymer solution","10.1140/epje/i2012-12057-2","https://kinampark.com/PL/files/Arai%202012%2C%20Skin%20formation%20and%20bubble%20growth%20during%20drying%20processof%20polymer%20solution.pdf","","public academic-hosted PDF"
"POL04","06","Pourdarvish et al. 2009","Mechanism of bubble formation in the drying of polymer films","10.1002/app.28998","https://doi.org/10.1002/app.28998","","publisher landing page; subscription may be required"
"BAT12","07","Susarla et al. 2018","Modeling and analysis of solvent removal during Li-ion battery electrode drying","10.1016/j.jpowsour.2018.01.007","https://www.osti.gov/biblio/1431318","originals/BAT12_Susarla_2018_solvent_removal_author_manuscript.pdf","local OSTI author manuscript verified; 36 pages"
"BAT13","07","Román-Ramírez et al. 2021","Understanding the effect of coating-drying operating variables on electrode physical and electrochemical properties of lithium-ion batteries","10.1016/j.jpowsour.2021.230689","https://wrap.warwick.ac.uk/159845/","originals/BAT13_Roman_Ramirez_2021_pilot_coating_drying_accepted.pdf","local author accepted manuscript verified; 43 pages; CC BY-NC-ND 4.0"
"BAT18","07","Nienke et al. 2024","Combination of different nozzle concepts for simultaneous optimization of heat transfer and its uniform distribution in convection drying applications","10.1080/07373937.2023.2260867","https://doi.org/10.1080/07373937.2023.2260867","","publisher landing page; subscription may be required"
"BAT06","09","Font et al. 2018","Binder migration during drying of lithium-ion battery electrodes: Modelling and comparison to experiment","10.1016/j.jpowsour.2018.04.097","https://arxiv.org/abs/1801.01580","originals/BAT06_Font_2018_binder_migration_model_preprint.pdf","local arXiv preprint verified; 25 pages"
