source_key,authors,year,title,journal_or_owner,source_type,doi,stable_url,full_text_status,primary_or_review,evidence_grade,topics,notes
"BAT01","Jaiser et al.","2016","Investigation of film solidification and binder migration during drying of Li-Ion battery anodes","Journal of Power Sources","journal article","10.1016/j.jpowsour.2016.04.018","https://doi.org/10.1016/j.jpowsour.2016.04.018","full text inspected","primary experiment + interpretation","C","binder migration; solidification; drying-rate switching","Graphite/CB/PVDF-NMP anode; binder and solvent match the target class but active material electrode polarity and geometry differ."
"BAT02","Jaiser et al.","2017","Microstructure formation of lithium-ion battery electrodes during drying – An ex-situ study using Cryo-BIB-SEM","Journal of Power Sources","journal article","10.1016/j.jpowsour.2017.01.117","https://doi.org/10.1016/j.jpowsour.2017.01.117","full text and local PDF inspected","primary experiment","C","distributed compaction; heterogeneous pore emptying; isolated liquid clusters; PVDF gradient","Cryogenic ex-situ graphite/PVDF/NMP anode sections. Directly observed large-pore emptying surface wet pores isolated liquid clusters and pendular rings; transport explanation remains author interpretation."
"BAT03","Jaiser et al.","2017","Experimental investigation into battery electrode surfaces: The distribution of liquid at the surface and the emptying of pores during drying","Journal of Colloid and Interface Science","journal article","10.1016/j.jcis.2017.01.063","https://doi.org/10.1016/j.jcis.2017.01.063","abstract and metadata inspected","primary experiment","C","surface liquid; pore emptying; late drying","Electrode surface study; equation details not extracted."
"BAT04","Kumberg et al.","2019","Drying of Lithium-Ion Battery Anodes for Use in High-Energy Cells: Influence of Electrode Thickness on Drying Time Adhesion and Crack Formation","Energy Technology","journal article","10.1002/ente.201900722","https://doi.org/10.1002/ente.201900722","full text inspected","primary experiment","C","critical thickness; cracking; adhesion; isolated solvent","Thick water-based graphite anode; closest battery CCT evidence but different chemistry."
"BAT05","Dawson et al.","2026","Predicting the formation of mud cracks in Li-ion battery electrodes during the drying process with in situ X-ray computed tomography","EES Batteries","journal article","10.1039/D5EB00201J","https://doi.org/10.1039/D5EB00201J","full text and two local PDF packages inspected","primary in-situ experiment","B","mud cracks; pre-existing bubbles; gas venting; compaction; delamination; DVC","NMC622/PVDF/NMP 84:9:7 solid formulation at 45 wt% on 4 mm steel pins; ambient 1–3 h drying. Repository-cover and journal-layout PDFs are one article. Published interpretation distinguishes early bubble venting/permanent deformation from later post-consolidation crack propagation."
"BAT06","Font et al.","2018","Binder migration during drying of lithium-ion battery electrodes: Modelling and comparison to experiment","Journal of Power Sources","journal article","10.1016/j.jpowsour.2018.04.097","https://doi.org/10.1016/j.jpowsour.2018.04.097","full text inspected","theory + comparison","C/T","moving boundary; binder Péclet number; drying schedule","Model ends at final film thickness and omits later pore-emptying mechanics."
"BAT07","Kumano et al.","2024","Migration of binder and conductive agent during drying process of Li-ion battery cathodes","Journal of Power Sources","journal article","10.1016/j.jpowsour.2023.233883","https://doi.org/10.1016/j.jpowsour.2023.233883","abstract and selected full-text details inspected","primary experiment","B","PVDF migration; conductive-agent migration; adhesion; resistance","PVDF/NMP cathode; material is not LFP."
"BAT08","Klemens et al.","2022","Drying of NCM Cathode Electrodes with Porous Nanostructured Particles Versus Compact Solid Particles: Comparative Study of Binder Migration as a Function of Drying Conditions","Energy Technology","journal article","10.1002/ente.202100985","https://doi.org/10.1002/ente.202100985","abstract and metadata inspected","primary experiment","B","particle porosity; PVDF migration; drying rate","NCM particle-structure comparison; use only for conditional transfer."
"BAT09","Zhang et al.","2022","Applications of advanced metrology for understanding the effects of drying temperature in the lithium-ion battery electrode manufacturing process","Journal of Materials Chemistry A","journal article","10.1039/D2TA00861K","https://doi.org/10.1039/D2TA00861K","full text inspected","primary experiment","B","PVDF distribution; carbon redistribution; drying temperature; metrology","NMC622/PVDF/NMP; important counterexample to universal PVDF surface enrichment."
"BAT10","Zhao et al.","2023","Modeling and Analysis of the Drying Process of Lithium-Ion Battery Electrodes Based on Non-Steady-State Drying Kinetics","Processes","journal article","10.3390/pr11113236","https://doi.org/10.3390/pr11113236","full text and local PDF inspected","theory + limited surface-temperature validation","A/T-limited","LFP; heat and mass transfer; unsaturated porous medium","Direct LFP/PVDF/NMP match but omits polymer migration mechanics voids and fracture. Eq.23 gas-phase volume weighting and Eqs.26–27 temperature-gradient boundary have apparent errors; gas permeability/viscosity prose is swapped and volumetric phase-change source is not closed. Re-derive before reuse."
