scenario,time_min,mean_nmp,bottom_nmp,middle_nmp,top_nmp,bottom_stress_mpa,middle_stress_mpa,top_stress_mpa,max_stress_mpa,channel_g_j_m2,channel_risk
thin_slow,0,1,1,1,1,0,0,0,0,0,0
thin_slow,0.5,0.97812845,0.98763133,0.98072306,0.95866794,8.0450953e-07,1.0468392e-06,1.5452645e-06,1.5452645e-06,7.4039672e-09,1.8509918e-09
thin_slow,1,0.95683019,0.96706261,0.95951796,0.93628814,1.2143338e-06,1.3219743e-06,1.6206734e-06,1.6206734e-06,1.085411e-08,2.7135274e-09
thin_slow,1.5,0.93602238,0.946582,0.93879789,0.9148123,1.4099509e-06,1.5008496e-06,1.8046289e-06,1.8046289e-06,1.3640426e-08,3.4101065e-09
thin_slow,2,0.91569192,0.92656759,0.91855731,0.8938157,1.5644433e-06,1.6621663e-06,2.0456928e-06,2.0456928e-06,1.6221477e-08,4.0553693e-09
thin_slow,2.5,0.89582845,0.9070262,0.89878626,0.87326966,1.7287059e-06,1.8538898e-06,2.4272607e-06,2.4272607e-06,1.9202032e-08,4.800508e-09
thin_slow,3,0.87642197,0.88794866,0.8794748,0.8531631,1.9506977e-06,2.1364844e-06,3.1063257e-06,3.1063257e-06,2.3468626e-08,5.8671566e-09
thin_slow,3.5,0.85746272,0.86932518,0.86061319,0.83348607,2.3014078e-06,2.6080351e-06,4.3782604e-06,4.3782604e-06,3.0578977e-08,7.6447443e-09
thin_slow,4,0.83894114,0.85114614,0.84219191,0.81422893,2.8999347e-06,3.4399811e-06,6.8119118e-06,6.8119118e-06,4.3489377e-08,1.0872344e-08
thin_slow,4.5,0.82084791,0.8334021,0.82420166,0.79538227,3.9538462e-06,4.9398362e-06,1.1527061e-05,1.1527061e-05,6.8103309e-08,1.7025827e-08
thin_slow,5,0.80317389,0.81608382,0.80663332,0.77693693,5.8311696e-06,7.6683281e-06,2.0789729e-05,2.0789729e-05,1.1684635e-07,2.9211588e-08
thin_slow,5.5,0.78591017,0.7991822,0.789478,0.75888401,9.1944597e-06,1.2666951e-05,3.9347359e-05,3.9347359e-05,2.1756374e-07,5.4390936e-08
thin_slow,6,0.76904802,0.78268838,0.77272697,0.74121482,1.525936e-05,2.19164e-05,7.7544354e-05,7.7544354e-05,4.3745011e-07,1.0936253e-07
thin_slow,6.5,0.75257891,0.7665936,0.75637171,0.72392094,2.6310055e-05,3.9292197e-05,0.00015878935,0.00015878935,9.5266277e-07,2.3816569e-07
thin_slow,7,0.73649448,0.75088932,0.74040386,0.70699416,4.67577e-05,7.2613581e-05,0.00033747309,0.00033747309,2.2661414e-06,5.6653534e-07
thin_slow,7.5,0.72078659,0.73556711,0.72481525,0.69042652,8.5362482e-05,0.00013810967,0.00074001379,0.00074001379,5.9263177e-06,1.4815794e-06
thin_slow,8,0.70544724,0.72061872,0.70959786,0.67421029,0.00015994105,0.00027011634,0.0016473063,0.0016473063,1.6922014e-05,4.2305036e-06
thin_slow,8.5,0.69046861,0.70603603,0.69474384,0.65833797,0.00030720972,0.00054132651,0.0036184515,0.0036184515,5.1179353e-05,1.2794838e-05
thin_slow,9,0.67584305,0.69181107,0.68024551,0.64280229,0.00060236625,0.0011011325,0.0075759125,0.0075759125,0.00015558692,3.8896731e-05
thin_slow,9.5,0.66156308,0.67793598,0.66609532,0.62759621,0.0011939526,0.0022349622,0.014682972,0.014682972,0.0004491108,0.0001122777
thin_slow,10,0.64762136,0.66440306,0.65228587,0.61271291,0.0023536714,0.0044235428,0.025953134,0.025953134,0.0011811296,0.0002952824
thin_slow,10.5,0.63401071,0.6512047,0.6388099,0.5981458,0.0045199169,0.0083408765,0.041829568,0.041829568,0.002779315,0.00069482876
thin_slow,11,0.62072409,0.63833345,0.62566027,0.58388852,0.0082854497,0.014727853,0.062040698,0.062040698,0.0058508351,0.0014627088
thin_slow,11.5,0.60775461,0.62578195,0.61283,0.56993491,0.014286513,0.024168324,0.085771478,0.085771478,0.01112026,0.0027800649
thin_slow,12,0.59509549,0.61354294,0.6003122,0.55627907,0.023021951,0.036896818,0.11197007,0.11197007,0.019318091,0.0048295227
thin_slow,12.5,0.58274012,0.60160929,0.5881001,0.54291527,0.034701349,0.052747334,0.13961376,0.13961376,0.031058831,0.0077647077
thin_slow,13,0.57068198,0.58997396,0.57618706,0.52983802,0.049202305,0.071240876,0.1678613,0.1678613,0.046753346,0.011688337
thin_slow,13.5,0.5589147,0.57863002,0.56456653,0.51704203,0.066135581,0.091735476,0.1961,0.1961,0.066579822,0.016644956
thin_slow,14,0.547432,0.56757064,0.55323206,0.50452224,0.084962392,0.11356578,0.22392781,0.22392781,0.090507371,0.022626843
thin_slow,14.5,0.53622773,0.55678907,0.5421773,0.49227375,0.1051082,0.13613674,0.25110784,0.25110784,0.11834894,0.029587235
thin_slow,15,0.52529585,0.54627866,0.531396,0.48029189,0.12604364,0.15896811,0.27751974,0.27751974,0.14982013,0.037455033
thin_slow,15.5,0.5146304,0.53603287,0.52088199,0.46857218,0.14732739,0.18170246,0.30311862,0.30311862,0.18458936,0.046147341
thin_slow,16,0.50422555,0.52604522,0.51062919,0.45711031,0.16861882,0.20409219,0.32790476,0.32790476,0.22231384,0.055578459
thin_slow,16.5,0.49407554,0.51630935,0.50063159,0.44590217,0.18967179,0.22597805,0.3519029,0.3519029,0.26266182,0.065665456
thin_slow,17,0.4841747,0.50681896,0.49088328,0.43494379,0.21031952,0.24726675,0.37514915,0.37514915,0.30532422,0.076331054
thin_slow,17.5,0.47451747,0.49756785,0.4813784,0.42423139,0.23045696,0.26791154,0.39768307,0.39768307,0.35001894,0.087504736
thin_slow,18,0.46509835,0.48854992,0.47211118,0.41376134,0.25002452,0.28789678,0.41954326,0.41954326,0.39649109,0.099122772
thin_slow,18.5,0.45591194,0.47975915,0.46307592,0.40353012,0.26899448,0.30722667,0.44076518,0.44076518,0.44451086,0.11112771
thin_slow,19,0.4469529,0.47118959,0.45426699,0.39353439,0.28736058,0.32591726,0.46138023,0.46138023,0.49387069,0.12346767
thin_slow,19.5,0.43821597,0.46283541,0.44567882,0.38377088,0.3051303,0.34399104,0.48141559,0.48141559,0.54438226,0.13609556
thin_slow,20,0.42969596,0.45469084,0.43730592,0.37423646,0.32231945,0.36147351,0.50089448,0.50089448,0.59587373,0.14896843
thin_slow,20.5,0.42138776,0.44675023,0.42914285,0.36492807,0.33894843,0.37839093,0.51983657,0.51983657,0.64818747,0.16204687
thin_slow,21,0.41328632,0.439008,0.42118427,0.35584274,0.35503982,0.39476907,0.53825849,0.53825849,0.70117812,0.17529453
thin_slow,21.5,0.40538664,0.43145866,0.41342487,0.34697755,0.37061679,0.4106325,0.55617431,0.55617431,0.75471113,0.18867778
thin_slow,22,0.39768383,0.42409684,0.40585945,0.33832963,0.38570214,0.42600423,0.57359603,0.57359603,0.80866154,0.20216538
thin_slow,22.5,0.39017301,0.41691724,0.39848285,0.32989616,0.4003178,0.44090565,0.59053393,0.59053393,0.86291311,0.21572828
thin_slow,23,0.3828494,0.40991468,0.39129,0.3216743,0.41448447,0.45535649,0.60699698,0.60699698,0.91735761,0.2293394
thin_slow,23.5,0.37570827,0.40308405,0.38427589,0.31366125,0.42822159,0.46937499,0.62299311,0.62299311,0.97189424,0.24297356
thin_slow,24,0.36874496,0.39642036,0.37743561,0.30585417,0.4415473,0.482978,0.63852948,0.63852948,1.0264292,0.25660729
thin_slow,24.5,0.36195487,0.38991873,0.37076429,0.29825021,0.45447848,0.4961811,0.6536127,0.6536127,1.0808753,0.27021881
thin_slow,25,0.35533345,0.38357436,0.36425718,0.29084647,0.46703085,0.50899883,0.66824898,0.66824898,1.1351516,0.2837879
thin_slow,25.5,0.34887625,0.37738257,0.35790959,0.28363999,0.47921907,0.52144471,0.68244431,0.68244431,1.1891834,0.29729584
thin_slow,26,0.34257886,0.37133877,0.35171694,0.27662778,0.49105686,0.53353144,0.69620456,0.69620456,1.2429015,0.31072538
thin_slow,26.5,0.33643694,0.3654385,0.3456747,0.26980676,0.50255704,0.545271,0.7095356,0.7095356,1.2962425,0.32406062
thin_slow,27,0.33044623,0.35967738,0.33977846,0.26317378,0.5137317,0.55667469,0.72244332,0.72244332,1.3491481,0.33728702
thin_slow,27.5,0.32460254,0.35405116,0.3340239,0.2567256,0.5245922,0.56775326,0.73493379,0.73493379,1.4015651,0.35039128
thin_slow,28,0.31890175,0.34855569,0.32840678,0.2504589,0.53514931,0.57851695,0.74701319,0.74701319,1.4534453,0.36336134
thin_slow,28.5,0.31333982,0.34318691,0.32292297,0.24437029,0.54541322,0.58897553,0.75868794,0.75868794,1.504745,0.37618626
thin_slow,29,0.30791278,0.33794091,0.31756843,0.23845629,0.55539362,0.59913839,0.76996467,0.76996467,1.5554249,0.38885623
thin_slow,29.5,0.30261674,0.33281384,0.31233924,0.23271332,0.56509976,0.60901452,0.78085023,0.78085023,1.6054499,0.40136247
thin_slow,30,0.29744791,0.32780199,0.30723154,0.22713775,0.57454047,0.61861259,0.79135174,0.79135174,1.6547887,0.41369717
thin_slow,30.5,0.29240255,0.32290176,0.30224162,0.22172585,0.58372418,0.62794095,0.80147651,0.80147651,1.7034138,0.42585345
thin_slow,31,0.28747704,0.31810963,0.29736584,0.21647387,0.592659,0.63700765,0.81123211,0.81123211,1.7513013,0.43782532
thin_slow,31.5,0.28266782,0.3134222,0.29260067,0.21137795,0.60135268,0.64582045,0.82062631,0.82062631,1.7984303,0.44960759
thin_slow,32,0.27797142,0.30883619,0.28794269,0.20643424,0.60981269,0.65438688,0.82966705,0.82966705,1.8447833,0.46119582
thin_slow,32.5,0.27338447,0.3043484,0.28338857,0.2016388,0.6180462,0.6627142,0.83836246,0.83836246,1.8903452,0.4725863
thin_slow,33,0.26890367,0.29995574,0.27893511,0.19698772,0.62606012,0.67080942,0.8467208,0.8467208,1.9351039,0.48377597
thin_slow,33.5,0.26452583,0.29565522,0.27457918,0.19247702,0.63386111,0.67867933,0.85475045,0.85475045,1.9790494,0.49476236
thin_slow,34,0.26024784,0.29144395,0.27031776,0.18810277,0.64145556,0.68633049,0.86245987,0.86245987,2.0221743,0.50554357
thin_slow,34.5,0.25606668,0.28731915,0.26614794,0.18386101,0.64884966,0.69376925,0.86985759,0.86985759,2.0644729,0.51611823
thin_slow,35,0.2519794,0.2832781,0.26206691,0.17974782,0.65604936,0.70100175,0.87695216,0.87695216,2.1059417,0.52648541
thin_slow,35.5,0.24798316,0.27931821,0.25807193,0.17575929,0.66306041,0.70803391,0.88375214,0.88375214,2.1465785,0.53664463
thin_slow,36,0.24407521,0.27543697,0.25416038,0.17189156,0.66988835,0.71487147,0.89026607,0.89026607,2.1863832,0.54659579
thin_slow,36.5,0.24025288,0.27163194,0.25032973,0.16814082,0.67653851,0.72151997,0.89650245,0.89650245,2.2253566,0.55633915
thin_slow,37,0.23651357,0.26790079,0.24657753,0.16450331,0.68301606,0.72798476,0.90246969,0.90246969,2.2635011,0.56587526
thin_slow,37.5,0.23285478,0.26424126,0.24290142,0.16097533,0.68932596,0.734271,0.90817614,0.90817614,2.30082,0.575205
thin_slow,38,0.22927409,0.26065118,0.23929914,0.15755324,0.695473,0.7403837,0.91363,0.91363,2.3373179,0.58432948
thin_slow,38.5,0.22576917,0.25712845,0.2357685,0.15423351,0.70146183,0.74632767,0.91883939,0.91883939,2.3730001,0.59325003
thin_slow,39,0.22233775,0.25367107,0.23230738,0.15101264,0.70729689,0.75210755,0.92381225,0.92381225,2.4078729,0.60196821
thin_slow,39.5,0.21897764,0.25027708,0.22891378,0.14788726,0.71298249,0.75772785,0.92855638,0.92855638,2.441943,0.61048574
thin_slow,40,0.21568675,0.24694462,0.22558572,0.14485405,0.71852278,0.7631929,0.93307942,0.93307942,2.475218,0.6188045
thin_slow,40.5,0.21246303,0.24367189,0.22232134,0.14190981,0.72392177,0.76850688,0.93738882,0.93738882,2.507706,0.6269265
thin_slow,41,0.20930451,0.24045715,0.21911883,0.13905141,0.7291833,0.77367382,0.94149186,0.94149186,2.5394155,0.63485388
thin_slow,41.5,0.20620931,0.23729874,0.21597645,0.13627583,0.73431112,0.77869762,0.94539561,0.94539561,2.5703556,0.64258889
thin_slow,42,0.2031756,0.23419505,0.21289253,0.13358012,0.73930879,0.78358204,0.94910696,0.94910696,2.6005354,0.65013385
thin_slow,42.5,0.20020162,0.23114454,0.20986545,0.13096145,0.74417979,0.78833071,0.95263261,0.95263261,2.6299647,0.65749116
thin_slow,43,0.19728565,0.22814574,0.20689367,0.12841706,0.74892746,0.79294712,0.95597904,0.95597904,2.6586531,0.66466328
thin_slow,43.5,0.19442607,0.2251972,0.2039757,0.12594431,0.753555,0.79743466,0.95915255,0.95915255,2.6866109,0.67165272
thin_slow,44,0.1916213,0.22229755,0.20111011,0.12354064,0.75806552,0.80179658,0.96215922,0.96215922,2.7138481,0.67846203
thin_slow,44.5,0.1888698,0.21944548,0.1982955,0.12120356,0.76246201,0.80603603,0.96500495,0.96500495,2.7403752,0.68509379
thin_slow,45,0.18617011,0.21663972,0.19553056,0.11893071,0.76674737,0.81015604,0.96769543,0.96769543,2.7662024,0.6915506
thin_slow,45.5,0.18352081,0.21387904,0.19281401,0.11671978,0.77092436,0.81415956,0.97023615,0.97023615,2.7913403,0.69783508
thin_slow,46,0.18092054,0.21116226,0.1901446,0.11456856,0.77499568,0.81804941,0.97263244,0.97263244,2.8157994,0.70394985
thin_slow,46.5,0.17836798,0.20848825,0.18752117,0.11247494,0.77896391,0.82182834,0.97488942,0.97488942,2.8395902,0.70989754
thin_slow,47,0.17586185,0.20585593,0.18494255,0.11043686,0.78283155,0.82549899,0.97701201,0.97701201,2.8627231,0.71568077
thin_slow,47.5,0.17340093,0.20326425,0.18240766,0.10845237,0.78660101,0.82906392,0.97900498,0.97900498,2.8852087,0.72130216
thin_slow,48,0.17098405,0.2007122,0.17991542,0.10651956,0.7902746,0.8325256,0.98087291,0.98087291,2.9070573,0.72676432
thin_slow,48.5,0.16861004,0.19819881,0.17746481,0.10463663,0.79385458,0.83588642,0.98262023,0.98262023,2.9282793,0.73206983
thin_slow,49,0.16627782,0.19572314,0.17505485,0.10280183,0.79734311,0.8391487,0.98425118,0.98425118,2.9488851,0.73722126
thin_slow,49.5,0.16398633,0.1932843,0.17268458,0.10101348,0.80074226,0.84231467,0.98576986,0.98576986,2.9688847,0.74222117
thin_slow,50,0.16173453,0.19088142,0.17035308,0.099269985,0.80405407,0.84538651,0.98718019,0.98718019,2.9882883,0.74707209
thin_slow,50.5,0.15952144,0.18851368,0.16805945,0.09756979,0.80728048,0.84836632,0.98848598,0.98848598,3.007106,0.7517765
thin_slow,51,0.15734609,0.18618025,0.16580285,0.095911413,0.81042337,0.85125612,0.98969086,0.98969086,3.0253476,0.7563369
thin_slow,51.5,0.15520758,0.18388038,0.16358244,0.094293431,0.81348455,0.85405789,0.99079834,0.99079834,3.0430229,0.76075572
thin_slow,52,0.15310499,0.18161332,0.16139741,0.092714478,0.81646578,0.85677355,0.9918118,0.9918118,3.0601415,0.76503538
thin_slow,52.5,0.15103748,0.17937834,0.159247,0.091173241,0.81936876,0.85940494,0.99273446,0.99273446,3.0767131,0.76917826
thin_slow,53,0.14900421,0.17717476,0.15713045,0.089668461,0.82219512,0.86195386,0.99356946,0.99356946,3.0927469,0.77318673
thin_slow,53.5,0.14700437,0.17500191,0.15504703,0.088198928,0.82494646,0.86442207,0.99431979,0.99431979,3.1082524,0.77706309
thin_slow,54,0.14503718,0.17285915,0.15299603,0.086763482,0.8276243,0.86681125,0.99498833,0.99498833,3.1232386,0.78080964
thin_slow,54.5,0.14310189,0.17074584,0.15097679,0.085361007,0.83023013,0.86912306,0.99557787,0.99557787,3.1377145,0.78442864
thin_slow,55,0.14119777,0.1686614,0.14898863,0.083990434,0.83276538,0.87135908,0.99609106,0.99609106,3.1516892,0.78792229
thin_slow,55.5,0.13932412,0.16660524,0.14703091,0.082650734,0.83523145,0.87352089,0.99653047,0.99653047,3.1651712,0.7912928
thin_slow,56,0.13748025,0.1645768,0.14510302,0.08134092,0.83762968,0.87560998,0.99689857,0.99689857,3.1781693,0.79454231
thin_slow,56.5,0.1356655,0.16257555,0.14320435,0.080060045,0.83996138,0.87762784,0.99719773,0.99719773,3.1906918,0.79767295
thin_slow,57,0.13387924,0.16060096,0.14133432,0.078807197,0.8422278,0.87957589,0.99743024,0.99743024,3.2027472,0.80068679
thin_slow,57.5,0.13212084,0.15865253,0.13949235,0.077581501,0.84443018,0.88145552,0.9975983,0.9975983,3.2143436,0.8035859
thin_slow,58,0.13038969,0.15672976,0.1376779,0.076382115,0.8465697,0.8832681,0.99770402,0.99770402,3.2254892,0.80637229
thin_slow,58.5,0.12868523,0.1548322,0.13589042,0.075208233,0.84864752,0.88501494,0.99774944,0.99774944,3.2361918,0.80904795
thin_slow,59,0.12700688,0.15295937,0.13412941,0.074059076,0.85066474,0.88669734,0.99773652,0.99773652,3.2464593,0.81161482
thin_slow,59.5,0.1253541,0.15111084,0.13239434,0.072933897,0.85262246,0.88831655,0.99766714,0.99766714,3.2562993,0.81407484
thin_slow,60,0.12372635,0.14928618,0.13068473,0.071831979,0.85452173,0.88987378,0.99754312,0.99754312,3.2657195,0.81642988
thin_slow,60.5,0.12212312,0.14748497,0.1290001,0.07075263,0.85636358,0.89137025,0.99736622,0.99736622,3.2747273,0.81868181
thin_slow,61,0.12054392,0.14570681,0.12733999,0.069695185,0.858149,0.8928071,0.99713811,0.99713811,3.2833298,0.82083246
thin_slow,61.5,0.11898825,0.14395131,0.12570392,0.068659005,0.85987896,0.89418548,0.99686042,0.99686042,3.2915344,0.82288361
thin_slow,62,0.11745565,0.1422181,0.12409148,0.067643474,0.86155439,0.8955065,0.99653472,0.99653472,3.2993481,0.82483703
thin_slow,62.5,0.11594565,0.1405068,0.12250221,0.066648,0.86317623,0.89677124,0.99616251,0.99616251,3.3067778,0.82669446
thin_slow,63,0.11445782,0.13881707,0.1209357,0.065672013,0.86474535,0.89798076,0.99574525,0.99574525,3.3138304,0.8284576
thin_slow,63.5,0.11299172,0.13714854,0.11939155,0.064714962,0.86626262,0.89913609,0.99528434,0.99528434,3.3205125,0.83012813
thin_slow,64,0.11154693,0.13550089,0.11786935,0.06377632,0.8677289,0.90023824,0.99478113,0.99478113,3.3268308,0.83170769
thin_slow,64.5,0.11012304,0.13387379,0.11636872,0.062855575,0.86914501,0.9012882,0.99423692,0.99423692,3.3327916,0.8331979
thin_slow,65,0.10871967,0.13226692,0.11488926,0.061952237,0.87051175,0.90228694,0.99365298,0.99365298,3.3384015,0.83460037
thin_slow,65.5,0.10733641,0.13067997,0.11343062,0.061065832,0.8718299,0.90323539,0.99303051,0.99303051,3.3436666,0.83591664
thin_slow,66,0.1059729,0.12911264,0.11199243,0.060195905,0.87310024,0.90413449,0.9923707,0.9923707,3.3485931,0.83714827
thin_slow,66.5,0.10462877,0.12756464,0.11057433,0.059342013,0.87432351,0.90498512,0.99167466,0.99167466,3.353187,0.83829676
thin_slow,67,0.10330366,0.12603568,0.10917598,0.058503734,0.87550044,0.90578819,0.99094349,0.99094349,3.3574544,0.8393636
thin_slow,67.5,0.10199723,0.12452547,0.10779705,0.057680657,0.87663175,0.90654454,0.99017824,0.99017824,3.361401,0.84035026
